key,title,abstract-activity,activity-type,start-period,end-period,link,key:enrolment
activity-01,Title example,Resume example,HANDS_ON,2022/01/03 08:00,2022/01/04 11:00,https://www.google.com/,enrolment-01
activity-02,This title is going to reach exactly 75chr so the restriction can be proved,Resume example,HANDS_ON,2022/01/04 09:00,2022/01/04 11:00,https://www.google.com/,enrolment-01
activity-03,This title will reach exactly 75 - 1 char so the restriction can be proved,Resume example,HANDS_ON,2022/01/08 14:30,2022/01/08 16:00,https://www.google.com/,enrolment-02
activity-04,T,Resume example,HANDS_ON,2022/02/01 11:45,2022/02/01 13:15,https://www.google.com/,enrolment-03
activity-05,T1,Resume example,HANDS_ON,2022/02/15 08:00,2022/02/15 09:30,https://www.google.com/,enrolment-04
activity-06,<title>ExampleHTML</title>,Resume example,HANDS_ON,2022/03/05 16:15,2022/03/05 18:00,https://www.google.com/,enrolment-05
activity-07,<script>alert('exampleJS');</script>,Resume example,HANDS_ON,2022/03/20 10:00,2022/03/20 12:00,https://www.youtube.com/,enrolment-06
activity-08,示例文本,Resume example,HANDS_ON,2022/04/02 13:30,2022/04/02 15:00,null,enrolment-07
activity-09,Title example,This  abstract  is  going  to  reach  exactly 100  characters  so  the  restriction  can  be proved.,HANDS_ON,2022/04/15 09:45,2022/04/15 11:15,https://www.google.com/,enrolment-08
activity-10,Title example,This  abstract  is  going  to reach  exactly 100-1 characters  so  the restriction  can  be proved.,HANDS_ON,2022/05/01 12:00,2022/05/01 14:00,https://www.google.com/,enrolment-09
activity-11,Title example,T,HANDS_ON,2022/05/10 15:30,2022/05/10 17:00,https://www.google.com/,enrolment-10
activity-12,Title example,T1,HANDS_ON,2022/06/07 10:45,2022/06/07 12:15,https://www.google.com/,enrolment-11
activity-13,Title example,<title>ExampleHTML</title>,HANDS_ON,2022/06/20 08:00,2022/06/20 09:30,https://www.google.com/,enrolment-12
activity-14,Title example,示例文本,HANDS_ON,2022/07/03 14:15,2022/07/03 16:00,https://www.google.com/,enrolment-13
activity-15,Title example,Resume example,HANDS_ON,2022/11/22 13:45,2022/11/22 15:00,https://www.google.com/,enrolment-14
activity-16,Title example,Resume example,THEORY,2022/08/01 10:30,2022/08/01 12:00,https://www.google.com/,enrolment-15
activity-17,Title example,Resume example,HANDS_ON,2022/12/31 23:59,2023/01/01 00:00,https://www.google.com/,enrolment-16
activity-18,Title example,Resume example,HANDS_ON,2022/12/31 23:59,2023/01/01 00:00,https://www.google.com/,enrolment-17
activity-19,Title example,Resume example,HANDS_ON,2022/12/31 23:59,2023/01/01 00:01,https://www.google.com/,enrolment-01
activity-20,Title example,Resume example,HANDS_ON,2022/10/15 14:45,2022/10/15 16:00,https://www.google.com/,enrolment-02
activity-21,Title example,Resume example,HANDS_ON,2022/03/14 08:30,2022/03/14 10:45,https://www.google.com/,enrolment-03
activity-22,Title example,Resume example,HANDS_ON,2022/05/20 12:00,2022/05/20 13:30,https://www.google.com/,enrolment-04
activity-23,Title example,Resume example,HANDS_ON,2022/06/30 14:15,2022/06/30 15:45,https://www.google.com/,enrolment-05
activity-24,Title example,Resume example,HANDS_ON,2022/08/01 09:00,2022/08/01 12:00,null,enrolment-06
activity-25,Title example,Resume example,HANDS_ON,2022/09/10 16:30,2022/09/10 18:00,https://www.google.com/,enrolment-07
